equation_id,equation_form,equation_allometry,dependent_variable_biomass_component,independent_variable,allometry_specificity,development_species,geographic_area,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,original_data_availability,notes_to_consider,warning,ref_id
NA,exp(a+b*ln(DBA)),exp(3.6123+2.9944*log(dba)),Total aboveground biomass (wood and bark),DBA,Species,Vaccinium alaskaense,Pacific Northwest,0.6,3.6,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,a*(DBH^b),0.0752*(dbh^2.497),Whole tree (above stump),DBH,Species,NA,North Central States,2.5,40,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-2.037+2.363*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,NA,"Wisconsin, Michigan",3.1,24.6,NA,cm,kg,harvest,NA,NA,NA,1,1.01,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-1.721+2.334*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,NA,"Wisconsin, Michigan",10,52.2,NA,cm,kg,harvest,NA,NA,NA,1,1.007,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(-0.9+2.52*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,Wisconsin,7.5,23.7,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-2.037+2.363*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,Acer rubrum,"Wisconsin, Michigan",3.1,24.6,41,cm,kg,harvest,NA,NA,NA,1,1.01,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.5932+2.534*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,64,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.08724*(dbh^2.587),Whole tree (above stump),DBH,Species,NA,North Central States,2.5,40,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-2.474+2.555*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,NA,North Central States,3.5,26.3,NA,cm,kg,harvest,NA,NA,NA,1,1.006,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.305*(dbh^2.014),Whole tree (above stump),DBH,Species,NA,Wisconsin,12.9,30,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.0777*(dbh^2.472),Whole tree (above stump),DBH,Species,NA,Minessota,1.1,32.6,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.153*(dbh^2.248),Whole tree (above stump),DBH,Species,NA,Minessota,1.4,23.4,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a+(b*DBH)+c*(DBH^d),9.1583+(-0.4291*dbh)+0.005799*(dbh^2),Whole tree (above stump),DBH,Species,NA,New York,2.5,55,NA,mm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(-0.685+2.249*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,Wisconsin,14.7,39.7,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-2.972-0.017*dbh+2.873*(log(dbh))),Total aboveground biomass,DBH,Species,NA,Wisconsin,2.8,69.5,NA,cm,kg,harvest,NA,NA,NA,1,1.05,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.091*(dbh^2.234),Whole tree (above stump),DBH,Species,NA,North Central States,2.5,40,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.004884*(dbh^2.094),Foliage total,DBH,Species,NA,North Central States,2.5,40,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(6.9159+0.7003*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,NA,Maine,0.1,2.54,NA,in,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(3.779+2.473*(log10(dbh))),Whole tree (above stump),DBH,Species,NA,Bristish Columbia,31,90.4,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a+(b*DBH)+c*(DBH^2)+d*(DBH^3),0.62+(0.8024*dbh)+0.1724*(dbh^2)+1*(dbh^3),Stem biomass (with bark),DBH,Species,NA,Rocky Mountains,0,10.16,12,in,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(1.0152+1.6839*dbh+1*log(dbh)),"Crown biomass (branches, foliage, twigs)",DBH,Species,NA,Rocky Mountains,2.54,30.48,15,in,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(2.7261+2.3324*log(dbh)),Branches (live),DBH,Species,NA,West Cascades,18.8,111,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(2.03496+2.1683*log(dbh)),Foliage total,DBH,Species,NA,West Cascades,18.8,111,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(3.892752+2.5812*log(dbh)),Stem biomass,DBH,Species,NA,West Cascades,15.9,235.5,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(2.0791+2.5585*log(dbh)),Branches (live),DBH,Genus,NA,North America,8.7,111,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(3.4416+1.9278*log(dbh)),Foliage total,DBH,Genus,NA,North America,8.7,111,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(0.716+2.8796*log(dbh)),Stem bark biomass,DBH,Genus,NA,North America,8.7,111,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(3.1689+2.6825*log(dbh)),Stem biomass (without bark),DBH,Genus,NA,North America,8.7,111,NA,cm,g,harvest,NA,NA,NA,NA,NRA,NA,NA,Unable to extract correction factor from original publication,NA,NA
NA,exp(a+b*ln(DBH)),exp(7.2723+1.4835*log(dbh)),Total aboveground biomass,DBH,Species,Acer glabrum,North Central States,0.1,2.54,NA,in,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(7.2723+1.4835*log(dbh)),Total aboveground biomass,DBH,Species,NA,North Central States,0.1,2.54,NA,in,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.1312+2.1405*log(dbh)),Whole tree (above stump),DBH,Species,NA,Oregon,1.7,13.2,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBA)),exp(3.769+3.033*log(dba)),Total aboveground biomass,DBA,Species,NA,Rocky Mountains,0.7,2.2,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBH)),exp(-2.6177+2.4638*log(dbh)),Total aboveground biomass,DBH,Genus,NA,North America,3,180,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-3.9371+2.8427*log(dbh)),Total aboveground biomass,DBH,Species,NA,Oregon,10,40,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(4.98412+2.18584*log(dbh)),Total aboveground biomass,DBH,Species,NA,West Cascades,1.4,13.4,NA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBA)),exp(2.855+2.334*log(dba)),Total aboveground biomass,DBA,Species,NA,West Cascades,0.1,1.1,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBA)),exp(2.855+2.334*log(dba)),Total aboveground biomass,DBA,Species,Rubus leucodermis,West Cascades,0.1,1.1,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBH)),exp(-2.6327+2.4757*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,109,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(3.34884+2.45446*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,NA,Pacific Northwest,0.18,2.23,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,DBA= Stem basal diameter (at root collar),NA,NA
NA,exp(a+b*ln(DBH)),exp(-3463.8+1083.9*log(dbh)),Total aboveground biomass,DBH,Species,NA,Pacific Northwest,4.2,7,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,DBA= Stem basal diameter (at root collar),NA,NA
NA,10^(a*DBH^b),10^(3.68*dbh)^2.135,Whole tree (above stump),DBH,Species,NA,Bristish Columbia,16,49,8,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBA)),exp(3.761+2.37498*log(dba)),Total aboveground biomass,DBA,Species,Vaccinium parvifolium,"Oregon, Washington",0.4,3.3,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBA)),exp(3.761+2.37498*log(dba)),Total aboveground biomass,DBA,Species,NA,"Oregon, Washington",0.4,3.3,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+(b*(ln(pi*DBH)))),exp(-5.41227+(2.491767*(log(pi*dbh)))),Total aboveground biomass,DBH,Woody species,NA,Northern England,NI,NI,NA,cm,kg,harvest,linear,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+(b*(ln(pi*DBH)))),exp(-5.644074+(2.5189*(log(pi*dbh)))),Total aboveground biomass,DBH,Species,NA,Northern England,11.5,96.5,NA,cm,kg,harvest,linear,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+(b*(ln(pi*DBH)))),exp(-5.308133+(2.4882*(log(pi*dbh)))),Total aboveground biomass,DBH,Species,NA,Northern England,9,104,NA,cm,kg,harvest,linear,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+(b*(ln(pi*DBH)))),exp(-5.284602+(2.4882*(log(pi*dbh)))),Total aboveground biomass,DBH,Species,NA,Northern England,14,162.5,NA,cm,kg,harvest,linear,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(2.7261+2.3324*log(dbh)),Branches (live),DBH,Species,Abies procera,West Cascades,18.8,111,NA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(2.03496+2.1683*log(dbh)),Foliage total,DBH,Species,Abies procera,West Cascades,18.8,111,NA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(3.892752+2.5812*log(dbh)),Stem biomass,DBH,Species,Abies procera,West Cascades,15.9,235.5,NA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-10.8036+2.7727*dbh+1*log(dbh)),Stem biomass (with bark),DBH,Species,NA,Pacific Northwest,14.4,158.4,NA,cm,Mg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-10.7955+2.759*dbh+1*log(dbh)),Stem biomass (with bark),DBH,Species,NA,Pacific Northwest,18.8,143.2,NA,cm,Mg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBA)),exp(3.3186+2.6846*log(dba)),Total aboveground biomass,DBA,Species,NA,"Oregon, Washington",0.4,11.5,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-11.7031+2.7818*dbh+1*log(dbh)),Stem biomass (with bark),DBH,Species,NA,Pacific Northwest,25,143.9,NA,cm,Mg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBA)),exp(3.5247+2.2043*log(dba)),Total aboveground biomass,DBA,Species,Ceanothus velutinus,Pacific Northwest,0.3,11.7,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBA)),exp(3.6471+2.532*log(dba)),Total aboveground biomass,DBA,Species,NA,Pacific Northwest,0.3,6.5,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBA)),exp(3.6471+2.532*log(dba)),Total aboveground biomass,DBA,Species,Ceanothus integerrimus,Pacific Northwest,0.3,6.5,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBH)),exp(5.965+1.469*log(dbh)),Total aboveground biomass,DBH,Species,NA,California,0.8,13,40,cm,kg,harvest,NA,NA,NA,1,0.102,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.089+1.883*log(dbh)),Total aboveground biomass,DBH,Species,NA,California,0.9,5.7,41,cm,kg,harvest,NA,NA,NA,1,0.124,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBA)),exp(2.749+2.306*log(dba)),Total aboveground biomass,DBA,Species,NA,California,0.5,2.6,40,cm,kg,harvest,NA,NA,NA,1,0.165,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBH)),exp(-3.9371+2.8427*log(dbh)),Total aboveground biomass,DBH,Species,Pseudotsuga menziesii,Oregon,10,40,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(4.98412+2.18584*log(dbh)),Total aboveground biomass,DBH,Species,Pseudotsuga menziesii,West Cascades,1.4,13.4,NA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-10.755+2.7308*dbh+1*log(dbh)),Stem biomass (with bark),DBH,Species,NA,Pacific Northwest,24.1,117.7,NA,cm,Mg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-0.4282+2.1772*dbh+1*log(dbh)),"Crown biomass (branches, foliage, twigs)",DBH,Species,NA,Rocky Mountains,2.54,30.48,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.1312+2.1405*log(dbh)),Whole tree (above stump),DBH,Species,NA,Oregon,1.7,13.2,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,Use this equation for small stems,NA,NA
NA,exp(a+b*ln(DBA)),exp(2.749+2.306*log(dba)),Total aboveground biomass,DBA,Species,Leucothoe davisiae,California,0.5,2.6,40,cm,kg,harvest,NA,NA,NA,1,0.165,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*(DBH/(DBH+c))),exp(-1.694+10.825*(dbh/(dbh+11.816))),Total aboveground biomass,DBH,Species,Picea abies,Europe,NI,40,144,cm,kg,harvest,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,exp(a+b*(DBH/(DBH+c))),exp(0.006+10.933*(dbh/(dbh+21.216))),Total aboveground biomass,DBH,Genus,Fagus spp.,Europe,NI,50,240,cm,kg,harvest,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
